sample_id	portion_id	month_of_creation	is_ffpe	weight	year_of_creation	LCE	bcr_portion_barcode	bcr_portion_uuid	portion_sequence	day_of_creation	portion_number
TCGA-J4-8198-01A	TCGA-J4-8198-01A-11	3	NO	38	2012		TCGA-J4-8198-01A-11	ab6aae7b-bf76-4c65-996e-c1cd782aacf6		29	11
TCGA-VP-A87D-10A	TCGA-VP-A87D-10A-01	11	NO	2	2013		TCGA-VP-A87D-10A-01	AF8CA0C1-4729-44B0-9844-C3301B890617	1	25	1
TCGA-YL-A8S9-01A	TCGA-YL-A8S9-01A-11	12	NO	30	2013		TCGA-YL-A8S9-01A-11	44A46DC8-5080-453C-AC0A-1F4933F6F3AB		19	11
TCGA-CH-5769-01A	TCGA-CH-5769-01A-11	1	NO	32	2011		TCGA-CH-5769-01A-11	0fc1cfa1-63bd-4d25-aa0d-4caa9edbd78b		13	11
TCGA-HC-8216-10A	TCGA-HC-8216-10A-01	4	NO		2012		TCGA-HC-8216-10A-01	5f64be7c-31a0-4c79-bdd1-ac92cc48447a		3	1
TCGA-G9-6356-11A	TCGA-G9-6356-11A-01	3	NO	30	2011		TCGA-G9-6356-11A-01	39d43419-200b-4470-9802-2d0a4243e88e		18	1
TCGA-QU-A6IL-10A	TCGA-QU-A6IL-10A-01	6	NO	2	2013		TCGA-QU-A6IL-10A-01	424AA3EC-68D2-4DCD-8C1B-47F9AD32782F	1	18	1
TCGA-YL-A9WH-10A	TCGA-YL-A9WH-10A-01	1	NO		2014		TCGA-YL-A9WH-10A-01	2DCEDFB1-000F-4DEF-AB60-1841B1C890EB		14	1
TCGA-KK-A8I8-01A	TCGA-KK-A8I8-01A-11	11	NO	30	2013		TCGA-KK-A8I8-01A-11	76542E18-A349-4DF4-AE53-57F96925AFAC	1	25	11
TCGA-V1-A9OT-01A	TCGA-V1-A9OT-01A-11	2	NO	30	2014		TCGA-V1-A9OT-01A-11	21291214-4A51-4E0E-8134-03F4E02D700D		28	11
TCGA-KK-A8IF-11A	TCGA-KK-A8IF-11A-11	11	NO	30	2013		TCGA-KK-A8IF-11A-11	FFD0C491-4689-4AE8-868E-D29C98BFE130	1	27	11
TCGA-FC-A4JI-10A	TCGA-FC-A4JI-10A-01	11	NO	2	2012		TCGA-FC-A4JI-10A-01	24A4417A-C0FD-4E65-B324-0322B68884D6	1	15	1
TCGA-KC-A7F3-10A	TCGA-KC-A7F3-10A-01	9	NO		2013		TCGA-KC-A7F3-10A-01	EAA25645-8B84-45F9-B4C8-D9A6519EA23A	1	3	1
TCGA-ZG-A9NI-10A	TCGA-ZG-A9NI-10A-01	2	NO		2014		TCGA-ZG-A9NI-10A-01	A735B256-B233-44C2-B4C5-3C36A8B1F1F7		21	1
TCGA-HC-7744-10A	TCGA-HC-7744-10A-01	11	NO		2011		TCGA-HC-7744-10A-01	d097b8f7-3f4c-4197-87a1-0594c9222a58		22	1
TCGA-V1-A9O7-10A	TCGA-V1-A9O7-10A-01	3	NO	2	2014		TCGA-V1-A9O7-10A-01	42E75330-E8E3-4742-B56B-B250793CD869		3	1
TCGA-H9-A6BY-01A	TCGA-H9-A6BY-01A-11	5	NO	30	2013		TCGA-H9-A6BY-01A-11	C9FA3A0B-CFED-4AD3-AC53-E6BD29944985	1	15	11
TCGA-ZG-A9L0-10A	TCGA-ZG-A9L0-10A-01	2	NO		2014		TCGA-ZG-A9L0-10A-01	DA679985-923D-4120-958B-FC6CC5E2461B		21	1
TCGA-HC-7230-10A	TCGA-HC-7230-10A-01	9	NO		2011		TCGA-HC-7230-10A-01	d495f0a1-0ade-42f0-ae04-ec6e935e98f5		2	1
TCGA-2A-A8VO-01A	TCGA-2A-A8VO-01A-11	12	NO	30	2013		TCGA-2A-A8VO-01A-11	B9260D11-9D72-4DB7-A159-853C0E9DC18B		16	11
TCGA-XQ-A8TA-01A	TCGA-XQ-A8TA-01A-11	12	NO	30	2013		TCGA-XQ-A8TA-01A-11	638EAEB0-3DA4-48C4-9E40-901C775A946A		17	11
TCGA-V1-A9ZR-10A	TCGA-V1-A9ZR-10A-01	4	NO	2	2014		TCGA-V1-A9ZR-10A-01	77A809A2-8FB2-433E-BF23-93D7955FBF64		3	1
TCGA-EJ-7781-01A	TCGA-EJ-7781-01A-11	11	NO	32	2011		TCGA-EJ-7781-01A-11	21fec7fd-83c3-4b0f-afcf-0ab19599b669		17	11
TCGA-KK-A7AV-11A	TCGA-KK-A7AV-11A-11	8	NO	30	2013		TCGA-KK-A7AV-11A-11	5402AA36-A4AD-47FD-A5B7-28871E750063	1	26	11
TCGA-J9-A52D-10A	TCGA-J9-A52D-10A-01	3	NO	2	2013		TCGA-J9-A52D-10A-01	0EE8DFCE-5615-4F4B-A20E-CF1BCA172CF5	1	14	1
TCGA-J4-A67O-01A	TCGA-J4-A67O-01A-11	5	NO	30	2013		TCGA-J4-A67O-01A-11	076A53B6-595C-443A-A627-E83B626FD62F	1	6	11
TCGA-KK-A6E2-01A	TCGA-KK-A6E2-01A-11	5	NO	30	2013		TCGA-KK-A6E2-01A-11	DD431959-C615-4BC9-B4CB-64A5A0F74E3F	1	23	11
TCGA-V1-A8WW-01A	TCGA-V1-A8WW-01A-11	12	NO	30	2013		TCGA-V1-A8WW-01A-11	9E84F660-A321-47A5-8BF1-19B7F8789E31		26	11
TCGA-KK-A8IL-01A	TCGA-KK-A8IL-01A-11	11	NO	30	2013		TCGA-KK-A8IL-01A-11	731BB797-D1F0-4D47-BC8B-92BC5CDA0026	1	26	11
TCGA-G9-6494-01A	TCGA-G9-6494-01A-11	3	NO	30	2011		TCGA-G9-6494-01A-11	d01e9653-4d49-489b-9515-95dbed6ac3cb		28	11
TCGA-HI-7169-10A	TCGA-HI-7169-10A-01	7	NO		2011		TCGA-HI-7169-10A-01	1c9c6a85-1644-4d96-b028-99860a6ace01		29	1
TCGA-VN-A88Q-10A	TCGA-VN-A88Q-10A-01	11	NO	2	2013		TCGA-VN-A88Q-10A-01	0869999C-BD8B-4842-B550-B7609468411F	1	18	1
TCGA-ZG-A9ND-10A	TCGA-ZG-A9ND-10A-01	2	NO		2014		TCGA-ZG-A9ND-10A-01	23D9EC53-1602-4467-8E91-F372784A3965		21	1
TCGA-V1-A9OL-10A	TCGA-V1-A9OL-10A-01	3	NO	2	2014		TCGA-V1-A9OL-10A-01	D3FD3194-929D-48E2-9D32-F6B39937BC15		3	1
TCGA-VP-A879-10A	TCGA-VP-A879-10A-01	11	NO	2	2013		TCGA-VP-A879-10A-01	19F663BF-098E-417A-9868-6F721F2BB423	1	22	1
TCGA-J9-A8CP-01A	TCGA-J9-A8CP-01A-11	11	NO	30	2013		TCGA-J9-A8CP-01A-11	CF2F7E9F-041A-467A-B6FE-0E9AA4989139	1	19	11
TCGA-KK-A6E0-11A	TCGA-KK-A6E0-11A-11	5	NO	30	2013		TCGA-KK-A6E0-11A-11	0C47B2FC-973D-4999-8DFE-6BDBCD2E7C7B	1	23	11
TCGA-EJ-5542-10A	TCGA-EJ-5542-10A-01	12	NO		2010		TCGA-EJ-5542-10A-01	78472b5c-090a-43b5-865d-8e839200ce1e		21	1
TCGA-EJ-5511-10A	TCGA-EJ-5511-10A-01	12	NO		2010		TCGA-EJ-5511-10A-01	42f6e108-d018-469e-b111-4e0f2966a210		21	1
TCGA-EJ-7797-10A	TCGA-EJ-7797-10A-01	12	NO		2011		TCGA-EJ-7797-10A-01	c18ea6a6-78e9-470c-8175-7d4192cfd09b		13	1
TCGA-KC-A7FD-10A	TCGA-KC-A7FD-10A-01	9	NO		2013		TCGA-KC-A7FD-10A-01	CB764DAF-1FA0-43DA-AFA5-54D61A8D06E1	1	3	1
TCGA-CH-5792-10A	TCGA-CH-5792-10A-01	1	NO		2011		TCGA-CH-5792-10A-01	45ef7a4d-4881-4329-b698-c0c610c1dd5e		26	1
TCGA-XK-AAIV-01A	TCGA-XK-AAIV-01A-11	2	NO	30	2014		TCGA-XK-AAIV-01A-11	D355F8FD-B883-4B55-A16F-AFCE04DAE89E		14	11
TCGA-J9-A52E-01A	TCGA-J9-A52E-01A-11	12	NO	30	2012		TCGA-J9-A52E-01A-11	C215A4B6-9BFB-44DF-A136-97F1DA28083A	1	5	11
TCGA-HC-A6AQ-10A	TCGA-HC-A6AQ-10A-01	5	NO	2	2013		TCGA-HC-A6AQ-10A-01	5630D124-7A25-4219-BE36-97EAB03231F1	1	15	1
TCGA-HC-7747-01A	TCGA-HC-7747-01A-11	11	NO	26	2011		TCGA-HC-7747-01A-11	dcd8e9af-9513-4541-92bf-5abcda5202de		10	11
TCGA-KC-A7F6-01A	TCGA-KC-A7F6-01A-11	9	NO	30	2013		TCGA-KC-A7F6-01A-11	DC745C1F-A227-4E9C-A004-157AD5919BFE	1	11	11
TCGA-EJ-8468-11A	TCGA-EJ-8468-11A-01	6	NO	70	2012		TCGA-EJ-8468-11A-01	7f53a134-8c5a-45c5-a3ff-4666f55554d0		8	1
TCGA-J4-A67R-01A	TCGA-J4-A67R-01A-21	5	NO	30	2013		TCGA-J4-A67R-01A-21	E8A1C4A0-8C72-4702-9062-7ADD8FA03855	2	1	21
TCGA-ZG-A8QX-01A	TCGA-ZG-A8QX-01A-11	12	NO	30	2013		TCGA-ZG-A8QX-01A-11	004AF8CB-836B-40B0-ADD6-2DB47B7A5BF5		11	11
TCGA-EJ-5524-10A	TCGA-EJ-5524-10A-01	12	NO		2010		TCGA-EJ-5524-10A-01	db560010-e20e-45b4-bf27-f1dead15b666		21	1
TCGA-V1-A8WN-10A	TCGA-V1-A8WN-10A-01	1	NO	2	2014		TCGA-V1-A8WN-10A-01	91F80B83-7331-4324-B9BE-9AD8AEF6ABF7		13	1
TCGA-HC-8259-10A	TCGA-HC-8259-10A-01	4	NO		2012		TCGA-HC-8259-10A-01	38805cb0-391d-47d7-b538-16194afe9c95		11	1
TCGA-YL-A8SF-10A	TCGA-YL-A8SF-10A-01	12	NO		2013		TCGA-YL-A8SF-10A-01	027A2118-7248-4102-9A71-C020D312A188		3	1
TCGA-J4-A67T-01A	TCGA-J4-A67T-01A-11	5	NO	30	2013		TCGA-J4-A67T-01A-11	65200DA3-E29E-44A8-8C8C-95438A741CCE	1	1	11
TCGA-HC-A8CY-01A	TCGA-HC-A8CY-01A-11	11	NO	30	2013		TCGA-HC-A8CY-01A-11	1BA721FC-F8B2-4603-B2D2-C9A27F3D6931	1	14	11
TCGA-YL-A8SO-01B	TCGA-YL-A8SO-01B-31	1	NO	30	2014		TCGA-YL-A8SO-01B-31	247CE9C3-AE5D-4958-A99D-03932BF9DEE2		28	31
TCGA-M7-A723-01A	TCGA-M7-A723-01A-12	8	NO	30	2013		TCGA-M7-A723-01A-12	AB92C118-A559-4BD9-ACBF-03872E99F7E5	1	8	12
TCGA-EJ-5497-01A	TCGA-EJ-5497-01A-02	12	NO	34	2010		TCGA-EJ-5497-01A-02	abbcb67b-3335-4af1-a8ba-850de53efcec		2	2
TCGA-CH-5752-01A	TCGA-CH-5752-01A-11	1	NO	28	2011		TCGA-CH-5752-01A-11	b65c3fd4-341d-4347-8124-99faed481f10		13	11
TCGA-G9-6332-10A	TCGA-G9-6332-10A-01	3	NO		2011		TCGA-G9-6332-10A-01	489d3608-c2fb-49a2-9b8e-562e149daf53		11	1
TCGA-HC-8213-01A	TCGA-HC-8213-01A-11	4	NO		2012		TCGA-HC-8213-01A-11	ba3a2313-7156-4ce1-83b7-086fbbaac214		2	11
